site	Regional_Division	zone
GLG01	East	1
GLG02	East	1
GLG03	East	1
GLG04	East	1
GLG05	East	1
GLG06	East	1
GLG07	East	1
GLG08	East	1
GLG09	East	1
GLG10	East	1
GLG11	East	1
GLG12	East	1
GLG13	Northwest	2
GLG14	Northwest	2
GLG15	Northwest	2
GLG16	Northwest	2
GLG17	Northwest	2
GLG18	Northwest	2
GLG19	Northwest	2
GLG20	Northwest	2
GLG21	Northwest	2
GLG22	Northwest	2
GLG23	Northwest	2
GLG24	Northwest	2
GLG25	Northwest	2
GLG26	Northwest	2
GLG27	Northwest	2
GLG28	Northwest	2
GLG29	Northwest	2
GLG30	East	1
GLG31	East	1
GLG32	East	1
GLG33	East	1
GLG34	East	1
GLG35	East	1
GLG36	East	1
GLG37	East	1
GLG38	East	1
GLG39	East	1
GLG40	East	1
GLG41	East	1
GLG42	Southwest	3
GLG43	Southwest	3
GLG44	Southwest	3
GLG45	Southwest	3
GLG46	Southwest	3
GLG47	Southwest	3
GLG48	Southwest	3
GLG49	Southwest	3
GLG50	Southwest	3
GLG51	Southwest	3
GLG52	Southwest	3
GLG53	Southwest	3
GLG54	Southwest	3
GLG55	Southwest	3
GLG56	Southwest	3
GLG57	Southwest	3
GLG58	Southwest	3
GLG59	Southwest	3
GLG60	Southwest	3
GLG61	Southwest	3
GLG62	Southwest	3
GLG63	Southwest	3
GLG64	Southwest	3
GLG65	Southwest	3
GLG66	Southwest	3
GLG67	Southwest	3
GLG68	Southwest	3
GLG23033	Southwest	3
GLG23034	Southwest	3
GLG23035	Southwest	3
GLG23036	Southwest	3
GLG23037	Southwest	3
GLG23038	Southwest	3
GLG23039	Southwest	3
GLG23040	Southwest	3
GLG23041b	Southwest	3
GLG23041a	Southwest	3
GLG23042	Southwest	3
GLG23043	Southwest	3
GLG23044	Southwest	3
GLG23045	Southwest	3
GLG23046	Southwest	3
GLG23047	Southwest	3
GLG23048	Southwest	3
GLG23049	Southwest	3
GLG23050	Southwest	3
GLG23051	Southwest	3
GLG23052	Southwest	3
GLG23053	Southwest	3
GLG23054	Southwest	3
GLG23055	Southwest	3
GLG23056	Southwest	3
GLG23057	Southwest	3
GLG23058	Southwest	3
GLG23059	Southwest	3
GLG23060	Southwest	3
GLG23061	Southwest	3
GLG23062	Southwest	3
GLG23063	Southwest	3
GLG23064	Southwest	3
GLG23065	East	1
GLG23066	East	1
GLG23067	East	1
GLG23068	East	1
