otuID	class	species	IUCN	China_redlist	status	AdultBodyMass
Actinopteri_Acipenseriformes_Acipenseridae_Acipenser_sinensis_OTU3574_2716494	Actinopteri	Acipenser sinensis	CR	CR	invasive	NA
Amphibia_Anura_Bombinatoridae_Bombina_maxima_OTU4781_2	Amphibia	Bombina maxima	LC	LC	wild	NA
Amphibia_Anura_Bufonidae_Bufo_aspinius_OTU2548_4937	Amphibia	Bufo aspinius	EN	NA	wild	NA
Amphibia_Anura_Bufonidae_Bufo_gargarizans_OTU201_77987	Amphibia	Bufo gargarizans	LC	LC	wild	NA
Amphibia_Anura_Bufonidae_Bufo_tuberospinius_OTU3657_119185	Amphibia	Bufo tuberospinius	CR	NA	wild	NA
Amphibia_Anura_Bufonidae_Duttaphrynus_melanostictus_OTU468_404700	Amphibia	Duttaphrynus melanostictus	LC	LC	wild	NA
Amphibia_Anura_Dicroglossidae_Fejervarya_multistriata_OTU2652_103474	Amphibia	Fejervarya multistriata	DD	LC	wild	NA
Amphibia_Anura_Dicroglossidae_Limnonectes_longchuanensis_OTU1086_1607614	Amphibia	Limnonectes longchuanensis	DD	VU	wild	NA
Amphibia_Anura_Dicroglossidae_Nanorana_aenea_OTU210_60929	Amphibia	Nanorana aenea	LC	NA	wild	NA
Amphibia_Anura_Dicroglossidae_Nanorana_chayuensis_OTU4277_1187923	Amphibia	Nanorana chayuensis	NA	NA	wild	NA
Amphibia_Anura_Dicroglossidae_Nanorana_yunnanensis_OTU138_246373	Amphibia	Nanorana yunnanensis	EN	NA	wild	NA
Amphibia_Anura_Hylidae_Hyla_annectans_OTU169_116490	Amphibia	Hyla annectans	LC	NA	wild	NA
Amphibia_Anura_Megophryidae_Boulenophrys_lushuiensis_OTU136_371630	Amphibia	Boulenophrys lushuiensis	NA	NA	wild	NA
Amphibia_Anura_Megophryidae_Brachytarsophrys_feae_OTU128_212150	Amphibia	Brachytarsophrys feae	LC	NT	wild	NA
Amphibia_Anura_Megophryidae_Leptobrachella_sp_OTU4562_55	Amphibia	Leptobrachella sp	NA	NA	wild	NA
Amphibia_Anura_Megophryidae_Leptobrachium_chapaense_OTU327_41370	Amphibia	Leptobrachium chapaense	LC	NT	wild	NA
Amphibia_Anura_Megophryidae_Leptobrachium_tengchongense_OTU1329_4106	Amphibia	Leptobrachium tengchongense	EN	DD	wild	NA
Amphibia_Anura_Megophryidae_Megophrys_gigantica_OTU216_16179	Amphibia	Megophrys gigantica	VU	NA	wild	NA
Amphibia_Anura_Megophryidae_Megophrys_major_OTU3071_3151	Amphibia	Megophrys major	LC	NA	wild	NA
Amphibia_Anura_Megophryidae_Oreolalax_rugosus_OTU219_52332	Amphibia	Oreolalax rugosus	LC	NT	wild	NA
Amphibia_Anura_Megophryidae_Scutiger_sp1_OTU3969_562	Amphibia	Scutiger sp1	NA	NA	wild	NA
Amphibia_Anura_Megophryidae_Scutiger_sp3_OTU2851_725	Amphibia	Scutiger sp3	NA	NA	wild	NA
Amphibia_Anura_Megophryidae_Xenophrys_glandulosa_OTU564_16245244	Amphibia	Xenophrys glandulosa	LC	NA	wild	NA
Amphibia_Anura_Megophryidae_Xenophrys_periosa_OTU2211_5662	Amphibia	Xenophrys periosa	NA	NA	wild	NA
Amphibia_Anura_Microhylidae_Glyphoglossus_yunnanensis_OTU122_82418	Amphibia	Glyphoglossus yunnanensis	LC	NA	wild	NA
Amphibia_Anura_Microhylidae_Microhyla_mukhlesuri_OTU1085_5295	Amphibia	Microhyla mukhlesuri	NA	LC	wild	NA
