site	Human_modification_1km	Percent_of_forest_cover_1km	Patch_density_1km	Edge_density_1km	Reservoir_downstream
GLG23033	0.33357	0.686869	1.27E+11	7438730	yes
GLG23034	0.209193	0.901745	84395499520	4077290	yes
GLG23035	0.257518	0.445363	63296700416	5197770	yes
GLG23036	0.165879	0.916437	63296700416	2489950	no
GLG23037	0.169476	1	10549399552	0	no
GLG23038	0.280218	0.988981	52747198464	1027100	no
GLG23039	0.398313	0.798898	42197798912	3548180	yes
GLG23040	0.699262	0.116621	84395499520	5509020	no
GLG23041a	0.716547	0	10549399552	0	no
GLG23041b	0.338328	0.719008	63296700416	5353400	yes
GLG23042	0.579575	0.0238751	42197798912	995980	no
GLG23043	0.477888	0.0642792	84395499520	2489950	no
GLG23044	0.674919	0.0156107	52747198464	1556220	no
GLG23045	0.454807	0.912764	1.37E+11	4264040	yes
GLG23046	0.479239	0.112948	1.27E+11	3236940	no
GLG23047	0.739128	0	10549399552	0	yes
GLG23048	0.548567	0.113866	84395499520	2427700	yes
GLG23049	0.563671	0.426079	52747198464	4139540	no
GLG23050	0.608691	0.118457	73846104064	2334330	no
GLG23051	0.486064	0.481175	1.37E+11	7500980	yes
GLG23052	0.790672	0	10549399552	0	no
GLG23053	0.487309	0.85124	73846104064	4886530	yes
GLG23054	0.590748	0.342516	1.16E+11	7749970	yes
GLG23055	0.591662	0.647383	1.27E+11	10675700	yes
GLG23056	0.372559	0.880624	1.27E+11	5695760	yes
GLG23057	0.469608	0.432507	73846104064	4232920	yes
GLG23058	0.445971	0.957759	52747198464	1774090	no
GLG23059	0.439439	0.261708	73846104064	3983920	no
GLG23060	0.419307	0.0211203	42197798912	840359	no
GLG23061	0.662264	0.854913	1.37E+11	5322270	yes
GLG23062	0.507957	0.899908	84395499520	4575290	yes
GLG23063	0.60543	0.286501	42197798912	3112440	yes
GLG23064	0.532286	0.365473	1.79E+11	11920600	no
GLG23065	0.629263	0.320478	1.69E+11	7812220	no
GLG23066	0.510517	0.12764	2.11E+11	7438730	no
GLG23067	0.462969	0.548209	1.79E+11	8279090	no
GLG23068	0.483252	0.0835629	1.48E+11	4326290	no
GLG01	0.568083	0.22314	1.58E+11	6193750	no
GLG02	0.435003	0.8191	1.69E+11	6411620	no
GLG03	0.392652	0.626263	1.37E+11	7625480	no
GLG04	0.31924	0.827365	1.05E+11	5633510	no
GLG05	0.329237	0.656566	1.58E+11	9928680	no
GLG06	0.282291	0.707071	84395499520	6318250	no
GLG07	0.474087	0.713499	1.05E+11	8932700	no
GLG08	0.2412	0.77135	1.37E+11	6380500	no
GLG09	0.114604	0.778696	1.27E+11	6256000	no
GLG10	0.168383	0.494949	1.48E+11	10551200	no
GLG11	0.0947741	0.915519	63296700416	1587340	no
GLG12	0.280099	0.889807	73846104064	4326290	no
GLG13	0.0934006	1	10549399552	0	no
GLG14	0.102716	0.956841	63296700416	2676700	no
GLG15	0.0954045	0.966942	42197798912	1742970	no
GLG16	0.09557	0.988062	42197798912	591363	no
GLG17	0.092183	0.94674	52747198464	2427700	no
GLG18	0.100334	0.915519	52747198464	3299190	no
GLG19	0.100334	0.938476	42197798912	2738950	no
GLG20	0.101618	0.988062	73846104064	1244980	no
GLG21	0.101921	0.963269	52747198464	2396580	no
GLG22	0.102244	0.937557	73846104064	2614450	no
GLG23	0.102632	0.915519	1.05E+11	4793160	no
GLG24	0.0935964	0.930211	84395499520	3361430	no
GLG25	0.101005	0.953168	52747198464	2116460	no
GLG26	0.0762275	0.992654	31648299008	622488	no
GLG27	0.0883079	0.987144	73846104064	1151600	no
GLG28	0.098089	0.955923	31648299008	1960840	no
GLG29	0.0961833	0.950413	42197798912	2272080	no
GLG30	0.306362	0.955005	52747198464	1898590	no
GLG31	0.298228	0.633609	84395499520	7283110	no
GLG32	0.271476	0.695133	84395499520	5540140	no
GLG33	0.260146	0.711662	94945001472	5353400	no
GLG34	0.280643	0.56933	1.05E+11	10395500	no
GLG35	0.338322	0.635445	84395499520	7034110	no
GLG36	0.298986	0.839302	1.69E+11	7376480	no
GLG37	0.551128	0.354454	1.58E+11	8154590	no
GLG38	0.561007	0.678604	1.05E+11	8123470	no
GLG39	0.626708	0.342516	1.48E+11	7438730	no
GLG40	0.604128	0.658402	1.48E+11	6038130	no
GLG41	0.400079	0.828283	1.48E+11	6909610	no
GLG42	0.462966	0.280073	1.16E+11	6722870	no
GLG43	0.640291	0.105601	73846104064	2770070	no
GLG44	0.382239	0.575758	73846104064	3236940	no
GLG45	0.489079	0.528926	63296700416	3143560	no
GLG46	0.3184	0.876951	94945001472	4481910	yes
GLG47	0.306071	0.690542	2.00E+11	6909610	yes
GLG50	0.418957	0.229568	31648299008	1525100	no
GLG52	0.158194	0.95225	84395499520	2925690	no
GLG53	0.22467	0.998163	21098899456	186746	yes
GLG54	0.187461	0.988062	52747198464	902607	yes
GLG55	0.264546	0.955923	84395499520	2521080	yes
GLG56	0.26446	0.587695	73846104064	7283110	no
GLG57	0.27612	0.188246	1.69E+11	7251980	no
GLG58	0.398439	0.855831	42197798912	2552200	no
GLG59	0.310635	0.918274	31648299008	3330310	no
GLG60	0.259626	0.96786	31648299008	995980	no
GLG61	0.210429	0.972452	63296700416	1649590	no
GLG62	0.275945	0.961433	42197798912	995980	no
GLG63	0.262689	0.964187	84395499520	2396580	no
GLG64	0.205465	0.533517	94945001472	2770070	no
GLG66	0.177298	0.999082	21098899456	124498	no
GLG67	0.205409	0.955923	1.05E+11	2645570	no
GLG68	0.247435	0.401286	84395499520	7781100	no
