site	longitude	latitude	Percent_of_forest_cover_1km	Percent_of_forest_cover_2km	Human_modification_1km	Human_modification_2km	Patch_density_1km	Patch_density_2km	Edge_density_1km	Edge_density_2km		reservoir
GLG23033	97.7165	24.7706	24.7706	35.24137931	32.70386266	0.626978099	0.413124313	33.18584071	29.45831179	136.79941	116.532694	yes
GLG23034	97.718	24.8064	24.8064	59.70689655	63.17446809	0.211323932	0.213633719	15.35956747	9.717030664	62.20624827	37.77887486	yes
GLG23035	97.6605	24.6304	24.6304	46.98275862	53.78723404	0.329555869	0.27768353	21.5093412	16.98803009	110.2507375	80.48568543	yes
GLG23036	97.6227	24.5132	24.5132	75.61666667	73.59401709	0.155448243	0.162316759	6.47968157	4.381229561	27.02952883	19.55123691	no
GLG23037	97.5534	24.486	24.486	42.56666667	49.62660944	0.161819309	0.17093669	7.713906631	5.405532445	38.32268814	22.04517145	no
GLG23038	97.5319	24.4376	24.4376	35.24137931	46.67948718	0.339195013	0.36200182	16.91422948	9.084359239	41.33222622	28.52175547	no
GLG23039	97.6576	24.467	24.467	55.17241379	57.78540773	0.446656376	0.441688486	18.80626464	13.70678447	54.01405845	47.69960994	yes
GLG23040	97.9103	24.6798	24.6798	49.70689655	35.29237288	0.580322504	0.692658171	54.14051926	31.40147689	177.2794389	109.9678154	no
GLG23041a	98.3566	24.8805	24.8805	9.258064516	14.74893617	0.75582695	0.737644906	57.34369219	40.1747956	123.6588975	126.3978949	no
GLG23041b	98.2037	24.7823	24.7823	43.11864407	40.24034335	0.395285428	0.360237658	35.97122302	28.04016479	106.8068622	98.7123455	yes
GLG23042	98.2429	24.6727	24.6727	11.74576271	22.74248927	0.703175485	0.618489382	46.60493827	40.59031933	110.9259259	119.1900706	no
GLG23043	98.2715	24.5415	24.5415	30.94642857	37.32067511	0.703657985	0.522053108	40.10117836	30.66428862	126.2261706	93.07237398	no
GLG23044	97.8946	24.6748	24.6748	16.07142857	29.28389831	0.754176915	0.662928852	14.18964773	25.81977795	57.56061447	90.27533272	no
GLG23045	97.7303	24.4765	24.4765	48.3559322	49.50214592	0.382780224	0.447523922	30.28055865	26.0996632	82.86985539	81.44032632	yes
GLG23046	97.8067	24.4246	24.4246	10.46666667	24.62978723	0.730010629	0.518621946	43.05440231	32.7419418	110.3422825	101.6331806	no
GLG23047	97.856	24.2546	24.2546	11.3220339	11.95319149	0.751558363	0.749352428	20.90635184	17.4638975	36.70909426	44.05131097	yes
