"","species","covariate","mean_effect","lower_95","upper_95"
"1","Scincella doriae","Regional_DivisionNorthwest",-4.685675003567,-11.0672783806057,0.349656253350145
"2","Scincella doriae","Regional_DivisionSouthwest",-2.08431268531052,-5.76004058449757,0.944694087983167
"3","Scincella doriae","riverOriginoutsideGLGS",-0.0989507453930457,-1.144770851777,1.22445691897353
"4","Scincella doriae","riverdy",-0.330124628078835,-2.34872520848777,1.52776331638029
"5","Scincella doriae","riverlc",-0.222456904822297,-2.15126621486263,1.65948505457455
"6","Scincella doriae","rivernu",0.924719609795545,-1.04163458727795,2.98173746258297
"7","Scincella doriae","scale(Edge_density_1km)",0.131753918781175,-0.42805640667963,0.687819355340469
"8","Scincella doriae","scale(Human_modification_1km)",0.457788857825916,-0.593670123514598,1.55272072748336
"9","Scincella doriae","scale(Patch_density_1km)",-0.127378923040548,-1.02576350926579,0.659907458186686
"10","Scincella doriae","scale(Percent_of_forest_cover_1km)",0.652723806168276,-0.590420487510087,2.02547101875917
"11","Scincella doriae","scale(annual_precipitation)",0.828877011423005,-0.332057896024958,2.04980554950144
"12","Scincella doriae","scale(mean_temperature)",-0.713131405708319,-2.37739709115092,0.914549493933361
"13","Amolops afghanus","Regional_DivisionNorthwest",-4.3140017822331,-11.142194759044,1.08031526971835
"14","Amolops afghanus","Regional_DivisionSouthwest",2.5315147130141,0.19055830656136,5.20964948031249
"15","Amolops afghanus","riverOriginoutsideGLGS",-0.596324250209349,-1.67948320987839,0.351914355231981
"16","Amolops afghanus","riverdy",-0.0194749400393367,-1.83080932957782,1.83224208070791
"17","Amolops afghanus","riverlc",-0.168841916286735,-2.06158983090326,1.67090323406049
"18","Amolops afghanus","rivernu",0.205950430081138,-2.2235153200182,2.20816305732495
"19","Amolops afghanus","scale(Edge_density_1km)",-0.0468998440981734,-0.642852265730128,0.47321079912076
"20","Amolops afghanus","scale(Human_modification_1km)",0.0300883517023764,-0.992863878931047,0.948242107708408
"21","Amolops afghanus","scale(Patch_density_1km)",-0.291860390201463,-1.04626591408077,0.36530683594989
"22","Amolops afghanus","scale(Percent_of_forest_cover_1km)",1.22519525790776,0.335013112274671,2.28330939824394
"23","Amolops afghanus","scale(annual_precipitation)",1.01497405597167,0.0660855754836453,2.00492240425572
"24","Amolops afghanus","scale(mean_temperature)",1.62043024619128,0.418079108381444,2.96134121240986
"25","Nanorana aenea","Regional_DivisionNorthwest",-4.92644431687758,-11.4396583499497,0.0376180554695188
"26","Nanorana aenea","Regional_DivisionSouthwest",3.02396503404767,0.623274310489614,5.8660311208249
"27","Nanorana aenea","riverOriginoutsideGLGS",-0.538192272660802,-1.61338291366538,0.423708457107409
"28","Nanorana aenea","riverdy",-0.0213473859871823,-1.90668052444781,1.89711018377781
"29","Nanorana aenea","riverlc",-0.335798534206669,-2.19326447034775,1.44971983456642
"30","Nanorana aenea","rivernu",0.47763319655307,-1.56599502815983,2.41385391289148
"31","Nanorana aenea","scale(Edge_density_1km)",0.141453565484556,-0.37530193848944,0.671932393962333
"32","Nanorana aenea","scale(Human_modification_1km)",-0.297072412670876,-1.58496420330913,0.647160104180336
"33","Nanorana aenea","scale(Patch_density_1km)",0.11704578652248,-0.640591374182929,0.876172933477784
"34","Nanorana aenea","scale(Percent_of_forest_cover_1km)",0.394432327760857,-0.579662109007811,1.44187816567586
"35","Nanorana aenea","scale(annual_precipitation)",0.967395551621499,0.0622628618963287,1.93707261670802
"36","Nanorana aenea","scale(mean_temperature)",-1.39425142716561,-2.68911002590395,-0.213688552616516
"37","Megophrys gigantica","Regional_DivisionNorthwest",-4.7210684047533,-11.3942830917838,0.465389104019096
"38","Megophrys gigantica","Regional_DivisionSouthwest",-0.639160590801343,-3.5962647629435,2.16117438116251
"39","Megophrys gigantica","riverOriginoutsideGLGS",-0.749252688606695,-2.07683043070773,0.336111634308303
"40","Megophrys gigantica","riverdy",-0.208579201279048,-2.12050742071015,1.72920824629082
"41","Megophrys gigantica","riverlc",-0.24877524502806,-2.22711149046348,1.63741670842014
"42","Megophrys gigantica","rivernu",0.85597510837291,-1.11094859168183,2.87183815991103
"43","Megophrys gigantica","scale(Edge_density_1km)",0.150174824966208,-0.405306436479796,0.734382731610997
"44","Megophrys gigantica","scale(Human_modification_1km)",0.0943103107071453,-1.0077461031075,1.1075877295685
"45","Megophrys gigantica","scale(Patch_density_1km)",0.0381878214560117,-0.804478687020691,0.901907933109801
"46","Megophrys gigantica","scale(Percent_of_forest_cover_1km)",0.468921356866451,-0.71991089525038,1.81015701474357
"47","Megophrys gigantica","scale(annual_precipitation)",0.951970042603404,-0.129847015379739,2.11256327244196
"48","Megophrys gigantica","scale(mean_temperature)",-0.716329892188476,-2.4081175343978,0.796133653320396
"49","Oreolalax rugosus","Regional_DivisionNorthwest",-4.85803366547373,-11.1486628771701,-0.027869451560341
"50","Oreolalax rugosus","Regional_DivisionSouthwest",-2.44052217916424,-5.93110331434372,0.345700320629888
"51","Oreolalax rugosus","riverOriginoutsideGLGS",-0.0681210301694538,-1.07272395392768,1.17364883077482
"52","Oreolalax rugosus","riverdy",-0.382658865942475,-2.33224079445325,1.50568570362737
"53","Oreolalax rugosus","riverlc",-0.219510814661455,-2.16413807113924,1.65886729793502
"54","Oreolalax rugosus","rivernu",1.03819179983343,-0.891199187155324,2.99869062104734
"55","Oreolalax rugosus","scale(Edge_density_1km)",0.236644946130478,-0.288768640157718,0.806313831777749
"56","Oreolalax rugosus","scale(Human_modification_1km)",0.0837041245155505,-1.01503813715851,1.04488818334518
"57","Oreolalax rugosus","scale(Patch_density_1km)",0.283513239548206,-0.452371635307215,1.10066802239136
"58","Oreolalax rugosus","scale(Percent_of_forest_cover_1km)",0.702904173801015,-0.414897803022956,1.93419410781781
"59","Oreolalax rugosus","scale(annual_precipitation)",0.658316331343875,-0.340985307117444,1.64412009911486
"60","Oreolalax rugosus","scale(mean_temperature)",-0.167590632255988,-1.60590642137789,1.2966185320538
"61","Kurixalus verrucosus","Regional_DivisionNorthwest",-4.06031310267714,-10.7228853177799,1.4402551557976
"62","Kurixalus verrucosus","Regional_DivisionSouthwest",1.54720805749274,-1.1979709959113,4.51705591614178
"63","Kurixalus verrucosus","riverOriginoutsideGLGS",-0.556398535499843,-1.79142178466137,0.51938147584378
"64","Kurixalus verrucosus","riverdy",-0.288705932910015,-2.19903173442283,1.62537113364773
"65","Kurixalus verrucosus","riverlc",-0.0195598011300721,-1.90250153180568,1.91476638493229
"66","Kurixalus verrucosus","rivernu",0.392576399746659,-1.8371661324653,2.41767122468761
"67","Kurixalus verrucosus","scale(Edge_density_1km)",0.0119170423134423,-0.594685459305595,0.538226276369265
"68","Kurixalus verrucosus","scale(Human_modification_1km)",0.1210708624782,-0.935237629846569,1.06218769858785
"69","Kurixalus verrucosus","scale(Patch_density_1km)",-0.0864022734654841,-0.963950900369827,0.713978438040978
"70","Kurixalus verrucosus","scale(Percent_of_forest_cover_1km)",0.214961456520247,-0.830972500951737,1.27120575366268
"71","Kurixalus verrucosus","scale(annual_precipitation)",0.922998217277616,-0.125699298736027,2.00541048038505
"72","Kurixalus verrucosus","scale(mean_temperature)",0.327386065388499,-0.992769120845714,1.97154072107412
"73","Zhangixalus burmanus","Regional_DivisionNorthwest",-4.67905391484871,-11.252659711993,0.355768475502186
"74","Zhangixalus burmanus","Regional_DivisionSouthwest",2.64610369587872,0.182169994707818,5.39247651453724
"75","Zhangixalus burmanus","riverOriginoutsideGLGS",-0.534205826411008,-1.68233521692508,0.481704232154358
"76","Zhangixalus burmanus","riverdy",-0.127623380135688,-2.05266799172723,1.76357519558519
"77","Zhangixalus burmanus","riverlc",-0.300069131761318,-2.35143426566298,1.5179748235961
"78","Zhangixalus burmanus","rivernu",0.561018715708887,-1.49172060617,2.54826440839891
"79","Zhangixalus burmanus","scale(Edge_density_1km)",0.0801825138105516,-0.483828422210382,0.61911417804603
"80","Zhangixalus burmanus","scale(Human_modification_1km)",-0.037888818793623,-1.20452942369482,0.887001628757266
"81","Zhangixalus burmanus","scale(Patch_density_1km)",0.0690685691792653,-0.655393056974551,0.812517535995481
"82","Zhangixalus burmanus","scale(Percent_of_forest_cover_1km)",0.284352988390114,-0.701700852940074,1.29422318231356
"83","Zhangixalus burmanus","scale(annual_precipitation)",0.751573825478361,-0.198384566022761,1.72004851057956
"84","Zhangixalus burmanus","scale(mean_temperature)",-1.5299924697203,-2.93305467336635,-0.297837237068203
"85","Amolops bellulus","Regional_DivisionNorthwest",-1.07250944658122,-4.15727555198794,1.82350020513271
"86","Amolops bellulus","Regional_DivisionSouthwest",-2.74212701940786,-4.9190567710518,-0.813353929576866
"87","Amolops bellulus","riverOriginoutsideGLGS",-0.548254004608173,-1.48747347480851,0.284510367376234
"88","Amolops bellulus","riverdy",-0.345328178638899,-2.20550754964094,1.4869240392585
"89","Amolops bellulus","riverlc",-0.0713274758416737,-1.94808178129986,1.77659012066698
"90","Amolops bellulus","rivernu",1.08269270767882,-0.861177307494786,3.08213982394223
"91","Amolops bellulus","scale(Edge_density_1km)",0.137111307223543,-0.395807113253773,0.663156926291736
"92","Amolops bellulus","scale(Human_modification_1km)",-0.161783945214215,-1.17067798428496,0.669293114747769
"93","Amolops bellulus","scale(Patch_density_1km)",-0.0913663852772464,-0.753881922242823,0.520018765964561
"94","Amolops bellulus","scale(Percent_of_forest_cover_1km)",-0.259099408866944,-1.13851311901527,0.57626249201119
"95","Amolops bellulus","scale(annual_precipitation)",1.07031525633328,0.37497374633177,1.80739904308062
"96","Amolops bellulus","scale(mean_temperature)",-1.32494560070042,-2.48178460871312,-0.280514293058112
"97","Leptobrachium chapaense","Regional_DivisionNorthwest",-4.64741338388922,-11.6334304796912,0.325084436090985
"98","Leptobrachium chapaense","Regional_DivisionSouthwest",3.99089915675631,2.24231355734689,5.89198180644524
"99","Leptobrachium chapaense","riverOriginoutsideGLGS",-0.843052795041356,-1.88742545661021,0.0368538740977988
"100","Leptobrachium chapaense","riverdy",-0.225544649192113,-2.02355116143746,1.55775998517523
"101","Leptobrachium chapaense","riverlc",-0.0653975523716482,-1.76596449683162,1.63651838173762
"102","Leptobrachium chapaense","rivernu",0.600308830892848,-1.32914947983129,2.41709162826485
"103","Leptobrachium chapaense","scale(Edge_density_1km)",0.13891754415618,-0.329881453790943,0.62844129052498
"104","Leptobrachium chapaense","scale(Human_modification_1km)",0.072081145434363,-0.724639761336242,0.820827828603414
"105","Leptobrachium chapaense","scale(Patch_density_1km)",0.59537228900841,-0.0336908669250207,1.28597902851795
"106","Leptobrachium chapaense","scale(Percent_of_forest_cover_1km)",0.413450826755409,-0.25275714450462,1.07058720943468
"107","Leptobrachium chapaense","scale(annual_precipitation)",0.129663252086906,-0.785504863936067,0.934576314078504
"108","Leptobrachium chapaense","scale(mean_temperature)",-0.365252322538118,-1.2135811257925,0.455658685258099
"109","Amolops viridimaculatus","Regional_DivisionNorthwest",-5.7624881010191,-11.7854468243455,-1.46739619174023
"110","Amolops viridimaculatus","Regional_DivisionSouthwest",0.407835158971144,-1.35636887146178,2.21653481916192
"111","Amolops viridimaculatus","riverOriginoutsideGLGS",-0.414153964008428,-1.25375617430484,0.491066060853064
"112","Amolops viridimaculatus","riverdy",-0.0788247237738899,-1.94284305843885,1.74563699038337
"113","Amolops viridimaculatus","riverlc",-0.147735478160445,-1.96148834083062,1.71120947074632
