"","species","covariate","mean_effect","lower_95","upper_95"
"1","Dremomys pernyi","Regional_DivisionNorthwest",-1.34405299929828,-3.54025767550697,0.776737155820076
"2","Dremomys pernyi","Regional_DivisionSouthwest",0.997719287478149,-1.00209046004311,3.03377329649876
"3","Dremomys pernyi","riverOriginoutsideGLGS",-1.160595585017,-2.5409295096313,0.0000180776396644418
"4","Dremomys pernyi","scale(Edge_density_1km)",0.309216979925533,-0.10170208380285,0.700764655111734
"5","Dremomys pernyi","scale(Human_modification_1km)",-0.358152348446952,-1.23365134243714,0.460840390446643
"6","Dremomys pernyi","scale(Patch_density_1km)",-0.221243080605145,-0.718130873178827,0.2871915752136
"7","Dremomys pernyi","scale(Percent_of_forest_cover_1km)",-0.0414611393445547,-0.630694043897697,0.536283144292285
"8","Dremomys pernyi","scale(annual_precipitation)",0.449791133359085,-0.01181862667892,0.950541842578985
"9","Dremomys pernyi","scale(mean_temperature)",-1.361738139056,-2.37810184934917,-0.395773246661425
"10","Capricornis milneedwardsii","Regional_DivisionNorthwest",0.851236876543185,-1.31558048813742,3.29354236686866
"11","Capricornis milneedwardsii","Regional_DivisionSouthwest",-1.34586003540633,-3.30708358347868,0.542694278148885
"12","Capricornis milneedwardsii","riverOriginoutsideGLGS",-0.652995508399434,-1.88172893588185,0.496664669019447
"13","Capricornis milneedwardsii","scale(Edge_density_1km)",0.268376766585836,-0.15760441907157,0.65569478516636
"14","Capricornis milneedwardsii","scale(Human_modification_1km)",-0.475411238599166,-1.40279403717731,0.334611900816049
"15","Capricornis milneedwardsii","scale(Patch_density_1km)",-0.405550193955086,-0.932040271841446,0.0677503897217567
"16","Capricornis milneedwardsii","scale(Percent_of_forest_cover_1km)",-0.0686573554016608,-0.621873359636313,0.524754576077171
"17","Capricornis milneedwardsii","scale(annual_precipitation)",0.225319591380224,-0.260183265200388,0.705613436057024
"18","Capricornis milneedwardsii","scale(mean_temperature)",-0.0340917915040859,-1.03839455503794,0.882692342184626
"19","Rattus norvegicus","Regional_DivisionNorthwest",-1.70411044672859,-4.35232628383401,0.638055757027479
"20","Rattus norvegicus","Regional_DivisionSouthwest",-0.552999996184318,-2.2739896250717,1.17326578094806
"21","Rattus norvegicus","riverOriginoutsideGLGS",-0.434800339866057,-1.58630357773648,0.77320287308083
"22","Rattus norvegicus","scale(Edge_density_1km)",0.359302343819575,-0.0428162903218091,0.78621740943381
"23","Rattus norvegicus","scale(Human_modification_1km)",0.436869873015191,-0.33471460321176,1.26262290347786
"24","Rattus norvegicus","scale(Patch_density_1km)",-0.151484250854456,-0.589914868475768,0.307239840846097
"25","Rattus norvegicus","scale(Percent_of_forest_cover_1km)",0.207899054004851,-0.36468712455502,0.828470633468273
"26","Rattus norvegicus","scale(annual_precipitation)",0.0685376253424982,-0.497521167111124,0.541951043163641
