"","p.2.5.","p.97.5.","q.2.5.","q.97.5.","mean2nd","species","phylum"
"1",0.469309725,0.992085,0.00080834685,0.00594505675,0.86203070872,"Scincella doriae","Reptilia"
"2",0.45441685,0.8086062,0.000307079925,0.0052583125,0.6470662097,"Glyphoglossus yunnanensis","Amphibia"
"3",0.55746255,0.782639875,0.0073979675,0.018434545,0.6788103808,"Brachytarsophrys feae","Amphibia"
"4",0.74132245,0.8896823,0.022023095,0.040388045,0.8247066693,"Boulenophrys lushuiensis","Amphibia"
"5",0.495959575,0.629692825,0.00838028075,0.0220383875,0.5642199036,"Nanorana yunnanensis","Amphibia"
"6",0.450271725,0.7345271,0.00763765725,0.020674195,0.5978580192,"Hyla annectans","Amphibia"
"7",0.8204108,0.9978462,0.000210271425,0.003769905,0.9618444728,"Zhangixalus dugritei","Amphibia"
"8",0.584925725,0.99449265,0.00342915725,0.01084738,0.90540585147,"Polypedates braueri","Amphibia"
"9",0.744942025,0.8453777,0.0089411585,0.02643607,0.7985497026,"Bufo gargarizans","Amphibia"
"10",0.6848462,0.8105986,0.00197782175,0.009395765,0.7522463479,"Amolops afghanus","Amphibia"
"11",0.35651355,0.60474345,0.00027535945,0.00656627525,0.478785688,"Nanorana aenea","Amphibia"
"12",0.478995375,0.990795425,0.0008473229,0.00615349675,0.8643255096,"Megophrys gigantica","Amphibia"
"13",0.512682775,0.792252175,0.000244756025,0.005186868,0.6644805381,"Oreolalax rugosus","Amphibia"
"14",0.39037225,0.8242211,0.00034126485,0.00516222075,0.6297323535,"Kurixalus verrucosus","Amphibia"
"15",0.38364515,0.7123892,0.000650551575,0.00555698525,0.5506446152,"Zhangixalus burmanus","Amphibia"
"16",0.580251475,0.679117075,0.00906528325,0.023442245,0.630523176,"Amolops bellulus","Amphibia"
"17",0.419695875,0.60575605,0.0071699385,0.02087305,0.5148862581,"Leptobrachium chapaense","Amphibia"
"18",0.3057175,0.445384725,0.002077201,0.0113540625,0.3733246594,"Amolops viridimaculatus","Amphibia"
"19",0.19081575,0.4499163,0.000655863325,0.00628617749999999,0.3090683395,"Tylototriton panwaensis","Amphibia"
"20",0.240733325,0.553061575,0.000103740375,0.003245653,0.3875972337,"Rhacophorus rhodopus","Amphibia"
"21",0.797820275,0.86572265,0.038757715,0.0674120275,0.8341518118,"Duttaphrynus melanostictus","Amphibia"
"22",0.773499475,0.8353526,0.0346321475,0.0627913175,0.8061507774,"Odorrana andersonii","Amphibia"
"23",0.908400525,0.95136825,0.14348875,0.197879075,0.9320778781,"Xenophrys glandulosa","Amphibia"
"24",0.475788,0.75821745,4.09101675e-05,0.00411287874999999,0.6255164421,"Odorrana macrotympana","Amphibia"
"25",0.73852035,0.965250125,0.001009172,0.006505604,0.8863328589,"Polypedates impresus","Amphibia"
"26",0.391699725,0.5926764,4.07735575e-05,0.00331339575,0.4922033851,"Amolops yangensis","Amphibia"
"27",0.435556625,0.732604675,0.0034170075,0.0118835575,0.5915028583,"Microhyla mukhlesuri","Amphibia"
"28",0.62218695,0.8205888,0.00876933175,0.02102019,0.7295068757,"Limnonectes longchuanensis","Amphibia"
"29",0.3031315,0.53363725,4.51478825e-05,0.00482181025,0.4144782048,"Leptobrachium tengchongense","Amphibia"
"30",0.38922675,0.7283467,0.000656089825,0.00551218625,0.5656588919,"Amolops sp1","Amphibia"
"31",0.654945975,0.79262975,0.00544906425,0.01672205,0.728051011,"Odorrana grahami","Amphibia"
"32",0.730656,0.85660515,0.00231863175,0.0112953175,0.7995954934,"Xenophrys periosa","Amphibia"
"33",0.81036795,0.915175275,0.012530945,0.0275166675,0.8694587021,"Bufo aspinius","Amphibia"
"34",0.45699875,0.993458025,0.0015298775,0.00715044025,0.86252552665,"Polypedates megacephalus","Amphibia"
"35",0.591305625,0.9931677,0.000400153025,0.004759796,0.89987951447,"Pelodiscus sinensis","Reptilia"
"36",0.5237363,0.7380819,0.0098965535,0.024412115,0.6365948371,"Fejervarya multistriata","Amphibia"
"37",0.594603575,0.99364705,0.00134114725,0.00694122125,0.9000629886,"Scutiger sp3","Amphibia"
"38",0.67408765,0.802391275,0.010140565,0.0245105625,0.7418790864,"Megophrys major","Amphibia"
"39",0.774272925,0.854774,0.00777862075,0.02256202,0.8168771559,"Bufo tuberospinius","Amphibia"
"40",0.5453194,0.994085725,0.0025857,0.009450957,0.89115734539,"Scutiger sp1","Amphibia"
"41",0.525432925,0.77705815,0.0015435055,0.0082143165,0.6589503776,"Rana chaochiaoensis","Amphibia"
"42",0.713329075,0.9033417,0.00328424,0.0115659575,0.8211100712,"Zhangixalus smaragdinus","Amphibia"
"43",0.6650674,0.7864956,0.01210257,0.0264161775,0.7295498771,"Nanorana chayuensis","Amphibia"
"44",0.32866835,0.68767715,0.00016484625,0.00404787175,0.5094495696,"Amolops putaoensis","Amphibia"
"45",0.566349775,0.994673075,0.000412891675,0.0052639095,0.8969713529,"Leptobrachella sp","Amphibia"
"46",0.4482233,0.992060175,0.000783815975,0.006018712,0.85939970254,"Hemidactylus aquilonius","Reptilia"
"47",0.6075651,0.994571125,0.00068002425,0.0053700455,0.9056938041,"Tylototriton verrucosus","Amphibia"
"48",0.56207165,0.994660125,0.000451179175,0.004038596,0.89738540866,"Tylototriton shanjing","Amphibia"
