"","2.5%","97.5%","species","meanocc","phylum"
"1",3.14805833230247e-09,0.0981487202841158,"Scincella doriae",0.0106660090954262,"Reptilia"
"2",1.07306947197913e-05,0.271516448539403,"Glyphoglossus yunnanensis",0.0341080543732469,"Amphibia"
"3",3.30032489555135e-06,0.515576571259899,"Brachytarsophrys feae",0.0502001019788198,"Amphibia"
"4",6.10000559080041e-05,0.563757496900401,"Boulenophrys lushuiensis",0.073684094050186,"Amphibia"
"5",0.000157822378851595,0.901275594693392,"Nanorana yunnanensis",0.183332212350669,"Amphibia"
"6",2.0190635834009e-05,0.412629337028372,"Hyla annectans",0.049030681489814,"Amphibia"
"7",2.72453474104289e-07,0.147608185748615,"Zhangixalus dugritei",0.0160985157496541,"Amphibia"
"8",5.678006010214e-09,0.094544694923473,"Polypedates braueri",0.0104679780058229,"Amphibia"
"9",0.000165873924515255,0.97742160798538,"Bufo gargarizans",0.216237723868775,"Amphibia"
"10",1.53141354824945e-05,0.959203790152169,"Amolops afghanus",0.127117502895248,"Amphibia"
"11",2.19850264867124e-05,0.618383100241011,"Nanorana aenea",0.0781450281474706,"Amphibia"
"12",4.10545002680014e-09,0.129999376443625,"Megophrys gigantica",0.0133710511293669,"Amphibia"
"13",1.67413189877283e-05,0.530194880977638,"Oreolalax rugosus",0.0514154208020369,"Amphibia"
"14",1.60508847625745e-07,0.225412488775421,"Kurixalus verrucosus",0.0220237885204368,"Amphibia"
"15",5.20470251024913e-07,0.248351005394734,"Zhangixalus burmanus",0.024064710634981,"Amphibia"
"16",0.00358869206908781,0.985836747736155,"Amolops bellulus",0.343852407828521,"Amphibia"
"17",0.000535932186655567,0.809048163828939,"Leptobrachium chapaense",0.167089460190074,"Amphibia"
"18",0.0003181746031304,0.906342430413474,"Amolops viridimaculatus",0.167659184286142,"Amphibia"
"19",3.34456729780346e-05,0.577818534253672,"Tylototriton panwaensis",0.0712585938463021,"Amphibia"
"20",8.94091864131881e-06,0.297669952149778,"Rhacophorus rhodopus",0.0344652986233913,"Amphibia"
"21",0.000963106485520355,0.982479961065578,"Duttaphrynus melanostictus",0.326571298969264,"Amphibia"
"22",0.00135865164070328,0.976754205147765,"Odorrana andersonii",0.353062777638227,"Amphibia"
"23",0.00923410068709128,0.952071404799221,"Xenophrys glandulosa",0.405182522478174,"Amphibia"
"24",5.36416305834756e-06,0.419819039209557,"Odorrana macrotympana",0.0396321239291534,"Amphibia"
"25",5.26328121589843e-07,0.241170851825682,"Polypedates impresus",0.0241649580258925,"Amphibia"
"26",2.15253114478383e-05,0.84835761376335,"Amolops yangensis",0.0922272023339621,"Amphibia"
"27",1.95292207205531e-05,0.229767060655048,"Microhyla mukhlesuri",0.0309045573538763,"Amphibia"
"28",6.08357348072678e-06,0.754618193439065,"Limnonectes longchuanensis",0.0718728229911083,"Amphibia"
"29",1.75506974846536e-05,0.449644040068062,"Leptobrachium tengchongense",0.0490027780080744,"Amphibia"
"30",1.36202014451778e-05,0.444900770986668,"Amolops sp1",0.0453052418551402,"Amphibia"
"31",0.00115100849445436,0.859277967244609,"Odorrana grahami",0.202382536622216,"Amphibia"
"32",3.47105257139599e-05,0.985406505143366,"Xenophrys periosa",0.173109960213765,"Amphibia"
"33",3.61777290627422e-05,0.947325665920141,"Bufo aspinius",0.14255313663636,"Amphibia"
"34",5.46412834533701e-09,0.121548813063407,"Polypedates megacephalus",0.0127797929203287,"Amphibia"
"35",4.19071604415709e-09,0.113324502551222,"Pelodiscus sinensis",0.0120451630148303,"Reptilia"
"36",0.000570870353757897,0.327970478709423,"Fejervarya multistriata",0.0638729303222411,"Amphibia"
"37",4.13648572016467e-09,0.0990568544603286,"Scutiger sp3",0.0108415534941556,"Amphibia"
"38",2.49682772682109e-05,0.977335704084583,"Megophrys major",0.152724893152148,"Amphibia"
"39",8.86901836576019e-05,0.988059915766067,"Bufo tuberospinius",0.230913592083499,"Amphibia"
"40",4.29303823447964e-09,0.084601779173086,"Scutiger sp1",0.00947757015952803,"Amphibia"
"41",6.58362711510509e-05,0.280317516673402,"Rana chaochiaoensis",0.0397515442180227,"Amphibia"
"42",4.83934806723877e-05,0.929561800971263,"Zhangixalus smaragdinus",0.128793892794833,"Amphibia"
"43",0.000258854441579166,0.969595854549964,"Nanorana chayuensis",0.19556756424444,"Amphibia"
"44",2.59174045405316e-05,0.294796523924247,"Amolops putaoensis",0.0360409651811895,"Amphibia"
"45",3.38973511927005e-09,0.0816992846117027,"Leptobrachella sp",0.00917697388647206,"Amphibia"
"46",3.56377228557294e-09,0.10766626455804,"Hemidactylus aquilonius",0.011627906044587,"Reptilia"
"47",7.08474969199144e-09,0.134393849903058,"Tylototriton verrucosus",0.014024989211764,"Amphibia"
"48",2.14896671280328e-09,0.0941695394044188,"Tylototriton shanjing",0.0103662249219336,"Amphibia"
