"","p.2.5.","p.97.5.","q.2.5.","q.97.5.","mean2nd","species","phylum"
"1",0.551943475,0.797794975,0.0087011585,0.0225893275,0.6867488782,"Lophura nycthemera","Aves"
"2",0.79112445,0.997956,0.00041000115,0.005024332,0.9573382876,"Phalacrocorax carbo","Aves"
"3",0.344367475,0.514407025,0.007392069,0.0197100475,0.4277781374,"Anser anser","Aves"
"4",0.693994125,0.786106025,0.109979925,0.151836325,0.7417702157,"Luscinia svecica","Aves"
"5",0.439310625,0.686718925,0.00273147475,0.012017055,0.5661780237,"Lophophorus impejanus","Aves"
"6",0.4769366,0.618724675,0.0387733825,0.0649794925,0.5487683235,"Enicurus maculatus","Aves"
"7",0.501077825,0.797358675,0.00169386225,0.0075027175,0.660788273,"Tragopan termminckii","Aves"
"8",0.625172275,0.9947251,0.000717679825,0.0051821185,0.9101369821,"Troglodytes troglodytes","Aves"
"9",0.576810325,0.993503325,0.0013716985,0.0069994225,0.8948704374,"Ithaginis cruentus","Aves"
"10",0.304113625,0.66856145,0.0006837918,0.0059879065,0.4859489689,"Culicicapa ceylonensis","Aves"
"11",0.2567792,0.497844875,0.00256920225,0.01175568,0.3730385663,"Ixos mcclellandii","Aves"
"12",0.511418275,0.7050474,0.008863532,0.02044037,0.6132033695,"Cinclus pallasii","Aves"
"13",0.439939825,0.99255145,0.00075381095,0.00596273225,0.85404026343,"Sitta nagaensis","Aves"
"14",0.243846975,0.393468275,0.019413065,0.038947185,0.3150697364,"Pomatorhinus ochraceiceps","Aves"
"15",0.685112025,0.974548525,0.000744883725,0.0054759015,0.8828077784,"Lonchura striata","Aves"
"16",0.304544275,0.533791725,0.00438488875,0.0140346175,0.4145968606,"Dicrurus leucophaeus","Aves"
"17",0.5046179,0.925745675,0.0006045615,0.005865311,0.7619059792,"Charadrius dubius","Aves"
"18",0.409364875,0.7904065,0.0005754916,0.0054684325,0.6114486124,"Treron curvirostra","Aves"
"19",0.59374075,0.729021275,0.080404785,0.116186475,0.6644295977,"Hirundo rustica","Aves"
"20",0.618854575,0.757909475,0.0586262325,0.0886923275,0.6926198612,"Myophonus caeruleus","Aves"
"21",0.371844175,0.659184075,0.00507838825,0.0143735,0.5154297345,"Tarsiger rufilatus","Aves"
"22",0.418733325,0.698922325,0.0119912,0.025619,0.5608407713,"Niltava davidi","Aves"
"23",0.73486105,0.950841775,0.0013625155,0.00684068625,0.8703599523,"Turdinus brevicaudatus","Aves"
"24",0.2696233,0.52960955,0.0010162165,0.0077673895,0.3946164406,"Treron sphenura","Aves"
"25",0.720727875,0.9754499,0.001357799,0.00834718875,0.8936292609,"Dicrurus hottentottus","Aves"
"26",0.559851525,0.99478305,0.00291770025,0.0107330175,0.89713487697,"Streptopelia orientalis","Aves"
"27",0.419722225,0.75715475,0.00072799815,0.00622138275,0.5984449887,"Chloropsis hardwickii","Aves"
"28",0.19769335,0.42656725,0.00110097325,0.00932055349999999,0.3023456963,"Schoeniparus castaneceps","Aves"
"29",0.58592535,0.920682625,0.00019886135,0.003716635,0.7888654872,"Pycnonotus melanicterus","Aves"
"30",0.411064975,0.596187225,0.00869838825,0.0250131925,0.5028175335,"Amaurornis phoenicurus","Aves"
"31",0.210361975,0.489861725,0.00187233925,0.010732165,0.3394635084,"Niltava sundara","Aves"
"32",0.280624625,0.5877365,9.5020785e-05,0.003758943,0.4249830068,"Vanellus cinereus","Aves"
"33",0.517891125,0.938865375,0.00320857,0.011542055,0.7807117475,"Gallinula chloropus","Aves"
"34",0.368605475,0.706449025,0.0017531175,0.008600412,0.5427979948,"Bubulcus ibis","Aves"
"35",0.73630075,0.92909725,0.00107340975,0.00660236425,0.8509172155,"Phasianus colchicus","Aves"
"36",0.27862805,0.525647475,4.190389e-05,0.0044322555,0.3971978524,"Ceyx erithaca","Aves"
"37",0.5531177,0.9936436,0.0026577915,0.01004998,0.8924812262,"Aerodramus brevirostris","Aves"
"38",0.447724975,0.7701245,0.00305598975,0.01098281,0.6208126676,"Psilopogon virens","Aves"
"39",0.374770025,0.788621525,0.00100092175,0.00731051475,0.5948341196,"Zapornia fusca","Aves"
"40",0.531653625,0.924843175,0.000175585375,0.00464974375,0.7731492534,"Hirundapus caudacutus","Aves"
"41",0.189139275,0.344589525,0.01123132,0.0258237325,0.2627925027,"Trochalopteron subunicolor","Aves"
"42",0.565122425,0.8867349,0.0019555365,0.008079607,0.7514662893,"Bambusicola fytchii","Aves"
"43",0.6358638,0.992979,0.0009249567,0.0066441105,0.908827949,"Emberiza rutila","Aves"
"44",0.4436654,0.917450875,0.000362667125,0.003943437,0.7347287567,"Arborophila rufogularis","Aves"
"45",0.42877755,0.920666525,0.00233838775,0.0103290225,0.7290581749,"Babax lanceolatus","Aves"
"46",0.3340782,0.9166775,0.001983941,0.008652595,0.68069014327,"Sylviparus modestus","Aves"
"47",0.460484425,0.798784175,0.000160717125,0.00398795225,0.6419994676,"Machlolophus spilonotus","Aves"
"48",0.451717125,0.986615675,0.000720649475,0.00645534275,0.83886159498,"Ficedula hyperythra","Aves"
"49",0.243175525,0.57224075,4.61525075e-05,0.00365916125,0.3993672788,"Rostratula benghalensis","Aves"
"50",0.615410275,0.993208375,0.000392424175,0.0045189845,0.9052296455,"Halcyon smyrnensis","Aves"
"51",0.459386225,0.855418475,0.00068417005,0.005013889,0.6839137741,"Alcedo atthis","Aves"
"52",0.6064189,0.993957075,0.00064951765,0.0057141165,0.9052848189,"Ardea intermedia","Aves"
"53",0.478090425,0.993047625,0.00122850625,0.00659577025,0.87419537154,"Columba hodgsonii","Aves"
"54",0.59044515,0.99384225,0.00254869225,0.00997771425,0.9028265057,"Parus monticolus","Aves"
"55",0.588259625,0.995586025,0.001002185,0.006238948,0.9047896372,"Psilopogon franklinii","Aves"
"56",0.437743975,0.947391875,0.000248719725,0.0042200765,0.7633933552,"Chelidorhynx hypoxanthus","Aves"
"57",0.585054775,0.99328745,0.0016836675,0.00762643925,0.8976403982,"Muscicapa sibirica","Aves"
"58",0.423482975,0.99540305,0.0027098795,0.010981505,0.86736948257,"Myzornis pyrrhoura","Aves"
"59",0.432969425,0.992618175,0.001034333,0.00672371525,0.85723042421,"Terpsiphone paradisi","Aves"
"60",0.33624045,0.811259925,0.000626140825,0.0059251695,0.5898495965,"Chalcophaps indica","Aves"
"61",0.508251575,0.82783655,0.0020206655,0.00922725975,0.6839384835,"Lophophorus sclateri","Aves"
"62",0.8986749,0.9414282,0.190885575,0.26077955,0.9222813954,"Gallus gallus","Aves"
"63",0.675593525,0.993559675,0.000371588275,0.004557931,0.9185287701,"Aethopyga nipalensis","Aves"
"64",0.387223375,0.98674145,0.00069938435,0.005637231,0.81699142127,"Pteruthius melanotis","Aves"
"65",0.596383975,0.71780725,0.03666728,0.0634685425,0.6588309269,"Anas platyrhynchos","Aves"
"66",0.626703775,0.9940073,0.00164997925,0.00763285,0.9111319849,"Egretta garzetta","Aves"
"67",0.512550725,0.994664075,0.0004056525,0.00479645125,0.88993576783,"Dicrurus macrocercus","Aves"
"68",0.2162712,0.37043305,0.00770186825,0.020258715,0.2900737979,"Liocichla phoenicea","Aves"
"69",0.63141725,0.994378075,0.0007161171,0.00566659175,0.9102330835,"Rhipidura albicollis","Aves"
"70",0.579829275,0.9947701,0.000689388925,0.00484648175,0.8997810665,"Otus lettia","Aves"
"71",0.6370092,0.99390705,0.0006608419,0.00604501474999999,0.9123238672,"Dicaeum concolor","Aves"
"72",0.349849775,0.859674725,0.00202998225,0.008627756,0.6313037518,"Corvus corone","Aves"
"73",0.26662985,0.41976735,0.0111310225,0.0245627325,0.341117675,"Heterophasia pulchella","Aves"
