"","species","covariate","mean_effect","ci_lower","ci_upper"
"2.5%","Lophura nycthemera","annual_precipitation",0.528628391150027,0.1590690097569,0.924925261556475
"2.5%1","Lophura nycthemera","mean_temperature",-0.27675327961411,-0.5560229199279,-0.007979838333875
"2.5%2","Lophura nycthemera","Percent_of_forest_cover_1km",-0.296119229456232,-0.528273031240825,-0.102149802378
"2.5%3","Lophura nycthemera","Human_modification_1km",0.581362690619315,0.197857857762825,0.9808642708522
"2.5%4","Lophura nycthemera","Patch_density_1km",-0.859831325563209,-1.3050359144705,-0.436130035226375
"2.5%5","Lophura nycthemera","Edge_density_1km",-0.598534915347574,-0.9331037695645,-0.296385390514025
"2.5%6","Lophura nycthemera","streamOriginoutsideGLGS",-2.28863321808614,-3.37079909717215,-1.27495298621355
"2.5%7","Lophura nycthemera","Regional_DivisionNorthwest",-4.29948797596816,-6.09996584208543,-2.57277843391511
"2.5%8","Lophura nycthemera","Regional_DivisionSouthwest",-3.61965245903934,-5.08873544776691,-2.17959677303993
"2.5%9","Phalacrocorax carbo","annual_precipitation",0.525330763751987,-0.00661760122367497,1.07911133895465
"2.5%10","Phalacrocorax carbo","mean_temperature",-0.511301746553266,-0.9250958113315,-0.156915931572875
"2.5%11","Phalacrocorax carbo","Percent_of_forest_cover_1km",-0.446482950500115,-0.79814932511155,-0.17081293699045
"2.5%12","Phalacrocorax carbo","Human_modification_1km",0.593254933847403,0.06031352160155,1.1537907146191
"2.5%13","Phalacrocorax carbo","Patch_density_1km",-1.33386990778101,-2.01977440392462,-0.695234001841313
"2.5%14","Phalacrocorax carbo","Edge_density_1km",-0.69923099440041,-1.18805163490721,-0.23847415843815
"2.5%15","Phalacrocorax carbo","streamOriginoutsideGLGS",-2.84128375892561,-4.42271987896705,-1.34495476797373
"2.5%16","Phalacrocorax carbo","Regional_DivisionNorthwest",-5.83642367049662,-8.67873024052547,-3.17042662437693
"2.5%17","Phalacrocorax carbo","Regional_DivisionSouthwest",-4.77748010046202,-7.0736222062304,-2.54222479663625
"2.5%18","Anser anser","annual_precipitation",-0.050179606540949,-0.41429352328185,0.288099392084725
"2.5%19","Anser anser","mean_temperature",-0.608838465211453,-0.928996514563025,-0.32735684722255
"2.5%20","Anser anser","Percent_of_forest_cover_1km",-0.382976975750297,-0.6434878165921,-0.14237978836904
"2.5%21","Anser anser","Human_modification_1km",-0.0064941676732755,-0.340220778879725,0.314439393336225
"2.5%22","Anser anser","Patch_density_1km",-1.2096975649676,-1.57093224374025,-0.88064725478015
"2.5%23","Anser anser","Edge_density_1km",-0.225183200826758,-0.521168991926025,0.08303033209445
"2.5%24","Anser anser","streamOriginoutsideGLGS",-1.3204050019899,-2.07971946607125,-0.5725811807655
"2.5%25","Anser anser","Regional_DivisionNorthwest",-3.82074999219034,-5.127229264713,-2.5552368335116
"2.5%26","Anser anser","Regional_DivisionSouthwest",-2.84710941158742,-3.81314866667725,-1.88944474809725
"2.5%27","Luscinia svecica","annual_precipitation",0.509112122915665,0.23770152769949,0.8529037984918
"2.5%28","Luscinia svecica","mean_temperature",0.204671287883093,-0.0048656128553225,0.47560106836347
"2.5%29","Luscinia svecica","Percent_of_forest_cover_1km",0.0203098445007205,-0.142192809003345,0.204985422608645
