"","species","covariate","mean_effect","ci_lower","ci_upper"
"2.5%","Cyprinus rubrofuscus","TEMP",-1.31830418539143,-1.78519631275442,-0.871597150772738
"2.5%1","Cyprinus rubrofuscus","annual_precipitation",-0.24449851548203,-0.62724806594424,0.145537719797917
"2.5%2","Cyprinus rubrofuscus","Human_modification_1km",-0.639886658015411,-1.00799027467572,-0.274129827327812
"2.5%3","Cyprinus rubrofuscus","Percent_of_forest_cover_1km",-1.68624868207242,-2.19373637755346,-1.22869668473427
"2.5%4","Cyprinus rubrofuscus","Patch_density_1km",0.554626850353789,0.105275442008297,1.06057108543765
"2.5%5","Cyprinus rubrofuscus","Edge_density_1km",-0.691624387169,-1.17431096138211,-0.233804262766975
"2.5%6","Cyprinus rubrofuscus","Reservoir_downstreamyes",-0.0401741394164785,-0.943747290117853,0.842627901345126
"2.5%7","Cyprinus rubrofuscus","river_width",-0.0567007719310143,-0.429430608173955,0.293005818290011
"2.5%8","Cyprinus rubrofuscus","water_velocity",-0.32549552970481,-0.683261626507718,0.0262712552323349
"2.5%9","Cyprinus rubrofuscus","streamOriginoutsideGLGS",0.658508947967892,0.171315984105614,1.16658684245351
"2.5%10","Cyprinus rubrofuscus","riverdy",1.00281917602849,0.34838565220409,1.65069612376297
"2.5%11","Cyprinus rubrofuscus","riverlc",0.286167710051136,-0.830186985456463,1.46715253521641
"2.5%12","Cyprinus rubrofuscus","rivernu",0.718714949151285,-0.334563844348743,1.7816366485169
"2.5%13","Oreochromis mossambicus","TEMP",-1.49264063490124,-2.14113267195718,-0.8903843464754
"2.5%14","Oreochromis mossambicus","annual_precipitation",-1.27529189536728,-1.81746254300623,-0.799408949469663
"2.5%15","Oreochromis mossambicus","Human_modification_1km",-0.0474613709162555,-0.541168961162519,0.439989490912785
"2.5%16","Oreochromis mossambicus","Percent_of_forest_cover_1km",-1.09064688691747,-1.71788671496392,-0.4933725324612
"2.5%17","Oreochromis mossambicus","Patch_density_1km",-0.747836668095614,-1.36957430223791,-0.16832834129715
"2.5%18","Oreochromis mossambicus","Edge_density_1km",0.563840963702835,-0.0546352595797249,1.18655669904012
"2.5%19","Oreochromis mossambicus","Reservoir_downstreamyes",-0.108498469223935,-1.1552027468841,0.979101481651527
"2.5%20","Oreochromis mossambicus","river_width",0.364637290189879,-0.0588075986524899,0.788534428915675
"2.5%21","Oreochromis mossambicus","water_velocity",-0.870867111918207,-1.32954366106306,-0.427732751817968
"2.5%22","Oreochromis mossambicus","streamOriginoutsideGLGS",-1.12785855235233,-1.8130927602171,-0.463627339081677
"2.5%23","Oreochromis mossambicus","riverdy",-1.91330047494128,-2.83578939284422,-1.06113716422851
"2.5%24","Oreochromis mossambicus","riverlc",-4.10373533631716,-5.71688277443165,-2.50934324688028
"2.5%25","Oreochromis mossambicus","rivernu",-3.59873084719316,-5.16217570798393,-2.0126124144931
"2.5%26","Rhinogobius similis","TEMP",-0.801545523940208,-1.39950385459483,-0.221821640155973
"2.5%27","Rhinogobius similis","annual_precipitation",-0.896023987462003,-1.38617196669131,-0.447645956875547
"2.5%28","Rhinogobius similis","Human_modification_1km",0.260741571761924,-0.203745623041361,0.714655926294425
"2.5%29","Rhinogobius similis","Percent_of_forest_cover_1km",-0.36761345070506,-0.9847090641373,0.23053144288895
"2.5%30","Rhinogobius similis","Patch_density_1km",-0.61909942888866,-1.22096301005779,-0.0522192679453253
"2.5%31","Rhinogobius similis","Edge_density_1km",0.708045782910593,0.102194173375365,1.32572209442083
"2.5%32","Rhinogobius similis","Reservoir_downstreamyes",-0.654690820390067,-1.66787841629505,0.3575513004812
"2.5%33","Rhinogobius similis","river_width",0.259945959861693,-0.115195023304266,0.64074987582749
"2.5%34","Rhinogobius similis","water_velocity",-0.734711900875742,-1.17298067012241,-0.31174968624434
"2.5%35","Rhinogobius similis","streamOriginoutsideGLGS",-1.58338861512243,-2.24787094734069,-0.937789411076115
"2.5%36","Rhinogobius similis","riverdy",-2.53387561744517,-3.47212720383892,-1.65464791533256
"2.5%37","Rhinogobius similis","riverlc",-3.90362870607615,-5.5845479210122,-2.26515609261715
"2.5%38","Rhinogobius similis","rivernu",-4.23172260317463,-5.91868989277274,-2.56106625470842
"2.5%39","Carassius cuvieri","TEMP",-0.756539749931738,-1.25274402490343,-0.261607037174611
"2.5%40","Carassius cuvieri","annual_precipitation",-0.794026586295615,-1.20201158642252,-0.399602475288745
"2.5%41","Carassius cuvieri","Human_modification_1km",-0.79006515711895,-1.18224743803189,-0.39962427925675
"2.5%42","Carassius cuvieri","Percent_of_forest_cover_1km",-1.23221605658809,-1.74387555582057,-0.737710218427325
"2.5%43","Carassius cuvieri","Patch_density_1km",-0.984921675239387,-1.46676196004422,-0.517437480402625
"2.5%44","Carassius cuvieri","Edge_density_1km",1.21636975203632,0.712340885525787,1.74445143968728
"2.5%45","Carassius cuvieri","Reservoir_downstreamyes",-0.0511566977216897,-0.965471202625008,0.835098036573232
"2.5%46","Carassius cuvieri","river_width",0.576686275651234,0.236067543917408,0.943634397846653
"2.5%47","Carassius cuvieri","water_velocity",-0.9076112310516,-1.29689726155622,-0.539812719059405
"2.5%48","Carassius cuvieri","streamOriginoutsideGLGS",0.309076845245991,-0.261176923303863,0.873622976777265
"2.5%49","Carassius cuvieri","riverdy",1.08804461986024,0.411993460929048,1.79798018206149
"2.5%50","Carassius cuvieri","riverlc",-2.8576933493062,-4.2708966557738,-1.56616314933384
"2.5%51","Carassius cuvieri","rivernu",-2.6116554270998,-3.95464857452655,-1.3326617905265
"2.5%52","Rhodeus ocellatus","TEMP",-0.729872169879658,-1.30894451954336,-0.17260254402074
"2.5%53","Rhodeus ocellatus","annual_precipitation",-0.497690141873726,-0.98208086092115,-0.0427859234627251
"2.5%54","Rhodeus ocellatus","Human_modification_1km",-0.211504000036427,-0.6518655565302,0.211914701437508
"2.5%55","Rhodeus ocellatus","Percent_of_forest_cover_1km",-1.07962690134549,-1.71568900692991,-0.46968426104113
"2.5%56","Rhodeus ocellatus","Patch_density_1km",-0.150879575596989,-0.705330714858057,0.402044178949978
"2.5%57","Rhodeus ocellatus","Edge_density_1km",0.831093772719679,0.22775739021931,1.46430080154642
"2.5%58","Rhodeus ocellatus","Reservoir_downstreamyes",-1.51849268164053,-2.5252578567904,-0.578852788610588
"2.5%59","Rhodeus ocellatus","river_width",0.280901918764173,-0.06829288783183,0.652040151619
"2.5%60","Rhodeus ocellatus","water_velocity",-1.01351175469968,-1.49542733765421,-0.585859433069219
"2.5%61","Rhodeus ocellatus","streamOriginoutsideGLGS",-1.15021057711704,-1.74261763495333,-0.607154776457827
"2.5%62","Rhodeus ocellatus","riverdy",-1.2582264391489,-1.96550097494329,-0.554754943575991
"2.5%63","Rhodeus ocellatus","riverlc",-3.6343783434361,-5.3127211501564,-2.03444924719399
"2.5%64","Rhodeus ocellatus","rivernu",-4.95285810087865,-6.7225465085208,-3.24370839262259
"2.5%65","Paracanthocobitis mandalayensis","TEMP",1.110884243085,0.351309225403125,1.90310831043863
"2.5%66","Paracanthocobitis mandalayensis","annual_precipitation",0.341380773961741,-0.227174040937927,0.94225176773706
"2.5%67","Paracanthocobitis mandalayensis","Human_modification_1km",0.844732642246745,0.22189975422828,1.50254448053982
"2.5%68","Paracanthocobitis mandalayensis","Percent_of_forest_cover_1km",1.26595125646838,0.545165877295825,2.03054066794613
"2.5%69","Paracanthocobitis mandalayensis","Patch_density_1km",-0.0671548566805889,-0.809016308196969,0.67168886165855
"2.5%70","Paracanthocobitis mandalayensis","Edge_density_1km",1.229087947002,0.47497858819484,2.01258687756745
"2.5%71","Paracanthocobitis mandalayensis","Reservoir_downstreamyes",-2.75755070595824,-4.10240612326455,-1.4959233488772
"2.5%72","Paracanthocobitis mandalayensis","river_width",-0.0310161209568212,-0.52382376211772,0.44738351651905
"2.5%73","Paracanthocobitis mandalayensis","water_velocity",-0.562675169872498,-1.12955565034875,-0.0133247300495726
"2.5%74","Paracanthocobitis mandalayensis","streamOriginoutsideGLGS",-2.72408629778918,-3.7697412344572,-1.73575767960138
"2.5%75","Paracanthocobitis mandalayensis","riverdy",-3.75830753816475,-5.26108211380992,-2.32660509183724
"2.5%76","Paracanthocobitis mandalayensis","riverlc",-3.36061789335094,-5.56426857950562,-1.13533714123589
"2.5%77","Paracanthocobitis mandalayensis","rivernu",-6.6322487480262,-9.18542876893027,-4.14924163379782
"2.5%78","Rhinogobius cliffordpopei","TEMP",-0.994982038602343,-1.55030089866841,-0.459962018774763
"2.5%79","Rhinogobius cliffordpopei","annual_precipitation",-0.643867474687783,-1.07716889755668,-0.217718844684175
"2.5%80","Rhinogobius cliffordpopei","Human_modification_1km",-0.309842372260212,-0.74116763089754,0.0957063058613843
"2.5%81","Rhinogobius cliffordpopei","Percent_of_forest_cover_1km",-0.914778597122401,-1.48529837084785,-0.359492126468585
"2.5%82","Rhinogobius cliffordpopei","Patch_density_1km",-0.429627754127112,-0.947628175998274,0.0807342670899249
"2.5%83","Rhinogobius cliffordpopei","Edge_density_1km",0.655402294622003,0.105293915339865,1.21997154438848
"2.5%84","Rhinogobius cliffordpopei","Reservoir_downstreamyes",-1.23596519568986,-2.21053469316763,-0.331527604960195
"2.5%85","Rhinogobius cliffordpopei","river_width",0.15860464743338,-0.178655836367675,0.500992439846484
"2.5%86","Rhinogobius cliffordpopei","water_velocity",-0.929632627563077,-1.3435844215467,-0.559249440814458
"2.5%87","Rhinogobius cliffordpopei","streamOriginoutsideGLGS",-1.03972221883064,-1.60294513117097,-0.507420853783012
"2.5%88","Rhinogobius cliffordpopei","riverdy",-1.46708183295976,-2.20285709342664,-0.757621679920657
"2.5%89","Rhinogobius cliffordpopei","riverlc",-3.05219037221105,-4.56901296181541,-1.5929362838648
"2.5%90","Rhinogobius cliffordpopei","rivernu",-3.89551873721782,-5.43297780934977,-2.39014260204742
"2.5%91","Misgurnus anguillicaudatus","TEMP",-0.728480091416679,-1.32975700103446,-0.1403109817417
"2.5%92","Misgurnus anguillicaudatus","annual_precipitation",-0.638327067861582,-1.14272758019505,-0.16084894908775
"2.5%93","Misgurnus anguillicaudatus","Human_modification_1km",-0.330622619460221,-0.796771848770892,0.135248252049097
"2.5%94","Misgurnus anguillicaudatus","Percent_of_forest_cover_1km",-1.33354796063234,-2.00430555494829,-0.69753743656566
"2.5%95","Misgurnus anguillicaudatus","Patch_density_1km",-0.325596834562906,-0.926059284777541,0.273254101788409
"2.5%96","Misgurnus anguillicaudatus","Edge_density_1km",1.1190874061421,0.48145201504146,1.78677856015417
"2.5%97","Misgurnus anguillicaudatus","Reservoir_downstreamyes",-1.21505843207765,-2.27116452132697,-0.196327208503365
"2.5%98","Misgurnus anguillicaudatus","river_width",0.489284316079122,0.102495678809075,0.904966509217278
"2.5%99","Misgurnus anguillicaudatus","water_velocity",-1.11483721558101,-1.62342344225511,-0.64230428889873
"2.5%100","Misgurnus anguillicaudatus","streamOriginoutsideGLGS",-0.871270592450275,-1.5157924621165,-0.2694287297456
"2.5%101","Misgurnus anguillicaudatus","riverdy",-0.589795079439172,-1.34806163402585,0.17072721890905
"2.5%102","Misgurnus anguillicaudatus","riverlc",-4.17305563924994,-5.96648982159211,-2.48698152071193
