"","p.2.5.","p.97.5.","q.2.5.","q.97.5.","mean2nd","species","phylum"
"1",0.43924845,0.77808745,0.002720851,0.01039741,0.6213420855,"Dremomys pernyi","Mammalia"
"2",0.55952815,0.698929725,0.0240819425,0.045542165,0.631180254,"Bos gaurus","Mammalia"
"3",0.758401125,0.876880275,0.0151343375,0.0315489375,0.8239285333,"Atherurus macrourus","Mammalia"
"4",0.51110475,0.714345325,0.000656053775,0.00641302225,0.616346739,"Naemorhedus evansi","Mammalia"
"5",0.45009295,0.727400975,0.000980675525,0.0066218725,0.5926704596,"Equus asinus","Mammalia"
"6",0.397000925,0.598957975,0.0025262605,0.011019975,0.4971235494,"Belomys pearsonii","Mammalia"
"7",0.417693925,0.62146245,0.00092536735,0.00796874075,0.5202895118,"Ratufa bicolor","Mammalia"
"8",0.31342335,0.545079275,0.003591216,0.014940135,0.4261606605,"Neodon clarkei","Mammalia"
"9",0.53091345,0.76611615,0.00261699775,0.010400395,0.6541995453,"Trogopterus xanthipes","Mammalia"
"10",0.500387225,0.79036695,0.004560496,0.014533095,0.6571648274,"Capricornis milneedwardsii","Mammalia"
"11",0.19086395,0.4151933,0.000840456,0.008148838,0.293232415,"Ochotona gaoligongensis","Mammalia"
"12",0.346209175,0.553007575,0.00221481475,0.0111715525,0.4487361965,"Hystrix hodgsoni","Mammalia"
"13",0.490657825,0.60797205,0.02675903,0.054566895,0.5501777434,"Niviventer huang","Mammalia"
"14",0.675406025,0.99580785,0.005251597,0.014437425,0.9264716115,"Micromys erythrotis","Mammalia"
"15",0.5871996,0.727481925,0.0012012285,0.008001081,0.6604692279,"Nycticebus bengalensis","Mammalia"
"16",0.871937325,0.9205582,0.15420695,0.205946575,0.8980809825,"Dacnomys millardi","Mammalia"
"17",0.70803555,0.9960751,0.00018527515,0.004163084,0.9340807304,"Suncus etruscus","Mammalia"
"18",0.4309994,0.99461825,0.00121187925,0.006845631,0.86773616517,"Soriculus nigrescens","Mammalia"
"19",0.643659975,0.7442044,0.0433374725,0.076887095,0.6955975545,"Callosciurus erythraeus","Mammalia"
"20",0.498004425,0.829346075,0.004275227,0.0132335,0.6812625072,"Ursus thibetanus","Mammalia"
