"","species","covariate","mean_effect","ci_lower","ci_upper"
"2.5%","Dremomys pernyi","annual_precipitation",0.810055067965025,0.400889708596399,1.24859934581499
"2.5%1","Dremomys pernyi","mean_temperature",-0.0926840167042906,-0.6093112027011,0.407592202519375
"2.5%2","Dremomys pernyi","Human_modification_1km",0.75237229452234,-0.060148122009225,1.56702254914114
"2.5%3","Dremomys pernyi","Percent_of_forest_cover_1km",-0.150837527485191,-0.716275713821497,0.411490658232312
"2.5%4","Dremomys pernyi","Patch_density_1km",-0.69535704898831,-1.13762987136812,-0.269887121828993
"2.5%5","Dremomys pernyi","Edge_density_1km",-0.571832562134117,-0.998822200553041,-0.172289487416468
"2.5%6","Dremomys pernyi","streamOriginoutsideGLGS",-2.21612838794746,-3.40762665541615,-1.04844387765483
"2.5%7","Dremomys pernyi","Regional_DivisionNorthwest",-4.51081891509377,-6.5835840559226,-2.541360949199
"2.5%8","Dremomys pernyi","Regional_DivisionSouthwest",-3.8151005973028,-5.32609760356264,-2.33704239027801
"2.5%9","Bos gaurus","annual_precipitation",0.0973751587634565,-0.151655455775897,0.333925906311452
"2.5%10","Bos gaurus","mean_temperature",-0.632150551782775,-1.0038621640965,-0.287681237096263
"2.5%11","Bos gaurus","Human_modification_1km",0.238763852643887,-0.218076292369425,0.71236195314795
"2.5%12","Bos gaurus","Percent_of_forest_cover_1km",-0.820771312120145,-1.18584532363441,-0.492237599360515
"2.5%13","Bos gaurus","Patch_density_1km",-0.485487106243429,-0.733466662000925,-0.251527218651748
"2.5%14","Bos gaurus","Edge_density_1km",-0.0780100016735964,-0.318017755198825,0.169232243868501
"2.5%15","Bos gaurus","streamOriginoutsideGLGS",-1.58661895902936,-2.20050059078033,-0.987412648436666
"2.5%16","Bos gaurus","Regional_DivisionNorthwest",-2.21710726895745,-3.17384801130358,-1.27248265118366
"2.5%17","Bos gaurus","Regional_DivisionSouthwest",-1.48060795580358,-2.12051090718661,-0.833373221379383
"2.5%18","Atherurus macrourus","annual_precipitation",1.17931078240797,0.76449251879645,1.64177085807632
"2.5%19","Atherurus macrourus","mean_temperature",1.08038444426658,0.55622441552183,1.6372559659616
